Voltage[V]	Current[mA]
51.438000	-2.704672E-10
51.444000	-3.296764E-10
51.450000	-2.850134E-10
51.456000	-3.120571E-10
51.462000	-2.536673E-10
51.468000	-2.397358E-10
51.474000	-2.895207E-10
51.480000	-3.999491E-10
51.486000	-3.007890E-10
51.492000	-2.968963E-10
51.498000	-3.024280E-10
51.504000	-3.071401E-10
51.510000	-3.167693E-10
51.516000	-2.710818E-10
51.522000	-2.831695E-10
51.528000	-3.333642E-10
51.534000	-3.688079E-10
51.540000	-2.757940E-10
51.546000	-2.579697E-10
51.552000	-2.102336E-10
51.558000	-2.907500E-10
51.564000	-2.460869E-10
51.570000	-3.165644E-10
51.576000	-3.018132E-10
51.582000	-2.811207E-10
51.588000	-2.784573E-10
51.594000	-3.755687E-10
51.600000	-2.579698E-10
51.606000	-3.302910E-10
51.612000	-3.298813E-10
51.618000	-2.952573E-10
51.624000	-2.811208E-10
51.630000	-2.977158E-10
51.636000	-3.921637E-10
51.642000	-3.186131E-10
51.648000	-2.751793E-10
51.654000	-2.819402E-10
51.660000	-3.069351E-10
51.666000	-2.807110E-10
51.672000	-3.339789E-10
51.678000	-3.427886E-10
51.684000	-2.942329E-10
51.690000	-3.175887E-10
51.696000	-3.608177E-10
51.702000	-2.354333E-10
51.708000	-2.661648E-10
51.714000	-2.887012E-10
51.720000	-2.827598E-10
51.726000	-2.667794E-10
51.732000	-3.011987E-10
51.738000	-2.563308E-10
51.744000	-2.995596E-10
51.750000	-4.290414E-10
51.756000	-3.120571E-10
51.762000	-3.325447E-10
51.768000	-3.194327E-10
51.774000	-2.915695E-10
51.780000	-1.354537E-10
51.786000	-2.714915E-10
51.792000	-2.858329E-10
51.798000	-1.395512E-10
51.804000	-3.243497E-10
51.810000	-3.241448E-10
51.816000	-2.776379E-10
51.822000	-2.805061E-10
51.828000	-3.124669E-10
51.834000	-1.428292E-10
51.840000	-2.848086E-10
51.846000	-2.893159E-10
51.852000	-2.575601E-10
51.858000	-2.973060E-10
51.864000	-2.983303E-10
51.870000	-3.608178E-10
51.876000	-2.321553E-10
51.882000	-3.386910E-10
51.888000	-2.913646E-10
51.894000	-2.911597E-10
51.900000	-3.089840E-10
51.906000	-2.702624E-10
51.912000	-2.628868E-10
51.918000	-2.923890E-10
51.924000	-2.602234E-10
51.930000	-2.901353E-10
51.936000	-3.014035E-10
51.942000	-2.682136E-10
51.948000	-2.757940E-10
51.954000	-3.823296E-10
51.960000	-3.425838E-10
51.966000	-3.184083E-10
51.972000	-3.001743E-10
51.978000	-3.544666E-10
51.984000	-2.280578E-10
51.990000	-2.895208E-10
51.996000	-3.024279E-10
52.002000	-2.913646E-10
52.008000	-2.837842E-10
52.014000	-3.009938E-10
52.020000	-2.237555E-10
52.026000	-2.925939E-10
52.032000	-3.786420E-10
52.038000	-3.386910E-10
52.044000	-2.866524E-10
52.050000	-3.005841E-10
52.056000	-3.157449E-10
52.062000	-2.971011E-10
52.068000	-3.087791E-10
52.074000	-3.376667E-10
52.080000	-1.792972E-10
52.086000	-2.971013E-10
52.092000	-2.057263E-10
52.098000	-3.087790E-10
52.104000	-2.473162E-10
52.110000	-4.415389E-10
52.116000	-3.106229E-10
52.122000	-3.175888E-10
52.128000	-3.862223E-10
52.134000	-3.366423E-10
52.140000	-2.647307E-10
52.146000	-4.585437E-10
52.152000	-3.159497E-10
52.158000	-2.907500E-10
52.164000	-3.003791E-10
52.170000	-3.077548E-10
52.176000	-2.131019E-10
52.182000	-3.091888E-10
52.188000	-3.472958E-10
52.194000	-1.258245E-10
52.200000	-3.122620E-10
52.206000	-2.565357E-10
52.212000	-1.252099E-10
52.218000	-2.753843E-10
52.224000	-2.573552E-10
52.230000	-1.512292E-10
52.236000	-3.686030E-10
52.242000	-1.858533E-10
52.248000	-2.925939E-10
52.254000	-2.757940E-10
52.260000	-2.968963E-10
52.266000	-3.597934E-10
52.272000	-3.393057E-10
52.278000	-3.475007E-10
52.284000	-3.044768E-10
52.290000	-1.479512E-10
52.296000	-3.151303E-10
52.302000	-2.628869E-10
52.308000	-2.368675E-10
52.314000	-2.889061E-10
52.320000	-3.020182E-10
52.326000	-2.839890E-10
52.332000	-2.743599E-10
52.338000	-4.190026E-10
52.344000	-3.163596E-10
52.350000	-2.684184E-10
52.356000	-3.075499E-10
52.362000	-3.118523E-10
52.368000	-1.891313E-10
52.374000	-2.946427E-10
52.380000	-3.681932E-10
52.386000	-2.444479E-10
52.392000	-3.175888E-10
52.398000	-1.948679E-10
52.404000	-2.700575E-10
52.410000	-3.268084E-10
52.416000	-2.833745E-10
52.422000	-2.712868E-10
52.428000	-2.852183E-10
52.434000	-3.317253E-10
52.440000	-3.407399E-10
52.446000	-2.895208E-10
52.452000	-2.813256E-10
52.458000	-3.434032E-10
52.464000	-2.421943E-10
52.470000	-2.907500E-10
52.476000	-2.895207E-10
52.482000	-2.391211E-10
52.488000	-2.596087E-10
52.494000	-3.890906E-10
52.500000	-3.501642E-10
52.506000	-3.104181E-10
52.512000	-3.319301E-10
52.518000	-3.440178E-10
52.524000	-2.553064E-10
52.530000	-2.700575E-10
52.536000	-4.103978E-10
52.542000	-3.403301E-10
52.548000	-2.940280E-10
52.554000	-2.823501E-10
52.560000	-3.569252E-10
52.566000	-2.665746E-10
52.572000	-2.632965E-10
52.578000	-3.495496E-10
52.584000	-2.395309E-10
52.590000	-3.186132E-10
52.596000	-2.979206E-10
52.602000	-3.307009E-10
52.608000	-3.186132E-10
52.614000	-3.315204E-10
52.620000	-2.766135E-10
52.626000	-2.438333E-10
52.632000	-2.729258E-10
52.638000	-3.663493E-10
52.644000	-3.198425E-10
52.650000	-2.555112E-10
52.656000	-3.120572E-10
52.662000	-2.772282E-10
52.668000	-3.483202E-10
52.674000	-2.706721E-10
52.680000	-2.708770E-10
52.686000	-3.446326E-10
52.692000	-2.131018E-10
52.698000	-3.175888E-10
52.704000	-2.889061E-10
52.710000	-3.702420E-10
52.716000	-3.198424E-10
52.722000	-3.423789E-10
52.728000	-3.182034E-10
52.734000	-2.960767E-10
52.740000	-3.335693E-10
52.746000	-2.841940E-10
52.752000	-2.362528E-10
52.758000	-3.194328E-10
52.764000	-4.134708E-10
52.770000	-3.169742E-10
52.776000	-3.009938E-10
52.782000	-3.431984E-10
52.788000	-3.513935E-10
52.794000	-2.176091E-10
52.800000	-2.651405E-10
52.806000	-2.977158E-10
52.812000	-2.917743E-10
52.818000	-2.333845E-10
52.824000	-2.893159E-10
52.830000	-3.366422E-10
52.836000	-1.911801E-10
52.842000	-2.964865E-10
52.848000	-4.419488E-10
52.854000	-3.261936E-10
52.860000	-2.600185E-10
52.866000	-3.745444E-10
52.872000	-3.067304E-10
52.878000	-2.540772E-10
52.884000	-2.745648E-10
52.890000	-2.225262E-10
52.896000	-2.645258E-10
52.902000	-2.749745E-10
52.908000	-3.989247E-10
52.914000	-3.511885E-10
52.920000	-2.823501E-10
52.926000	-3.534422E-10
52.932000	-3.417642E-10
