Voltage[V]	Current[mA]
53.454000	0.012030
53.460000	0.012092
53.466000	0.012126
53.472000	0.012119
53.478000	0.012169
53.484000	0.012157
53.490000	0.012203
53.496000	0.012252
53.502000	0.012259
53.508000	0.012290
53.514000	0.012283
53.520000	0.012346
53.526000	0.012373
53.532000	0.012374
53.538000	0.012429
53.544000	0.012415
53.550000	0.012469
53.556000	0.012514
53.562000	0.012516
53.568000	0.012551
53.574000	0.012565
53.580000	0.012609
53.586000	0.012645
53.592000	0.012644
53.598000	0.012685
53.604000	0.012703
53.610000	0.012742
53.616000	0.012775
53.622000	0.012783
53.628000	0.012825
53.634000	0.012823
53.640000	0.012861
53.646000	0.012910
53.652000	0.012904
53.658000	0.012967
53.664000	0.012961
53.670000	0.013011
53.676000	0.013052
53.682000	0.013050
53.688000	0.013100
53.694000	0.013094
53.700000	0.013149
53.706000	0.013180
53.712000	0.013179
53.718000	0.013226
53.724000	0.013229
53.730000	0.013269
53.736000	0.013312
53.742000	0.013322
53.748000	0.013365
53.754000	0.013371
53.760000	0.013402
53.766000	0.013459
53.772000	0.013462
53.778000	0.013566
53.784000	0.013566
53.790000	0.013618
53.796000	0.013648
53.802000	0.013633
53.808000	0.013701
53.814000	0.013687
53.820000	0.013723
53.826000	0.013784
53.832000	0.013774
53.838000	0.013797
53.844000	0.013794
53.850000	0.013755
53.856000	0.013789
53.862000	0.013789
53.868000	0.013905
53.874000	0.013837
53.880000	0.013875
53.886000	0.013929
53.892000	0.013925
53.898000	0.013962
53.904000	0.013984
53.910000	0.014000
53.916000	0.014070
53.922000	0.014048
53.928000	0.014083
53.934000	0.014070
53.940000	0.014102
53.946000	0.014150
53.952000	0.014143
53.958000	0.014166
53.964000	0.014185
53.970000	0.014238
53.976000	0.014282
53.982000	0.014275
53.988000	0.014340
53.994000	0.014351
54.000000	0.014367
54.006000	0.014385
54.012000	0.014358
54.018000	0.014609
54.024000	0.014395
54.030000	0.014465
54.036000	0.014528
54.042000	0.014550
54.048000	0.014621
54.054000	0.014601
54.060000	0.014641
54.066000	0.014701
54.072000	0.014688
54.078000	0.014733
54.084000	0.014718
54.090000	0.014766
54.096000	0.014815
54.102000	0.014827
54.108000	0.014897
54.114000	0.014882
54.120000	0.014936
54.126000	0.014973
54.132000	0.014951
54.138000	0.014987
54.144000	0.014994
54.150000	0.015029
54.156000	0.015092
54.162000	0.015109
54.168000	0.015145
54.174000	0.015134
54.180000	0.015191
54.186000	0.015266
54.192000	0.015239
54.198000	0.015292
54.204000	0.015268
54.210000	0.015340
